ico,nazov,typ
00306011,Jaslovské Bohunice,matričný úrad
00328341,Jaslovské Bohunice,matričný úrad
00318833,Jaslovské Bohunice,matričný úrad
00325279,Jaslovské Bohunice,matričný úrad
00307114,Jaslovské Bohunice,matričný úrad
00306029,Jaslovské Bohunice,matričný úrad
00316121,Jaslovské Bohunice,matričný úrad
00307131,Jaslovské Bohunice,matričný úrad
00311669,Jaslovské Bohunice,matričný úrad
00323101,Jaslovské Bohunice,matričný úrad
00308951,Jaslovské Bohunice,matričný úrad
00306495,Jaslovské Bohunice,matričný úrad
00308960,Jaslovské Bohunice,matričný úrad
00319368,Jaslovské Bohunice,matričný úrad
00047244,Jaslovské Bohunice,matričný úrad
00518239,Jaslovské Bohunice,matričný úrad
00327239,Jaslovské Bohunice,matričný úrad
00324299,Jaslovské Bohunice,matričný úrad
00307190,Jaslovské Bohunice,matričný úrad
00326283,Jaslovské Bohunice,matričný úrad
00308102,Jaslovské Bohunice,matričný úrad
00316733,Jaslovské Bohunice,matričný úrad
00310549,Jaslovské Bohunice,matričný úrad
00323136,Jaslovské Bohunice,matričný úrad
00318850,Jaslovské Bohunice,matričný úrad
00306509,Jaslovské Bohunice,matričný úrad
00319996,Jaslovské Bohunice,matričný úrad
00314048,Jaslovské Bohunice,matričný úrad
00329274,Jaslovské Bohunice,matričný úrad
00309028,Jaslovské Bohunice,matričný úrad
00311685,Jaslovské Bohunice,matričný úrad
00316130,Jaslovské Bohunice,matričný úrad
00321362,Jaslovské Bohunice,matričný úrad
00306517,Jaslovské Bohunice,matričný úrad
00308986,Jaslovské Bohunice,matričný úrad
00306525,Jaslovské Bohunice,matričný úrad
00308994,Jaslovské Bohunice,matričný úrad
00315311,Jaslovské Bohunice,matričný úrad
00309001,Jaslovské Bohunice,matričný úrad
00309613,Jaslovské Bohunice,matričný úrad
00314064,Jaslovské Bohunice,matričný úrad
00304867,Jaslovské Bohunice,matričný úrad
00306037,Jaslovské Bohunice,matričný úrad
00311707,Jaslovské Bohunice,matričný úrad
00332496,Košarovce,matričný úrad
00317390,Košarovce,matričný úrad
00690988,Košarovce,matričný úrad
00691046,Košarovce,matričný úrad
00690937,Košarovce,matričný úrad
00691054,Košarovce,matričný úrad
00690970,Košarovce,matričný úrad
00324345,Košarovce,matričný úrad
00324353,Košarovce,matričný úrad
00323179,Košarovce,matričný úrad
00316741,Košarovce,matričný úrad
00306045,Košarovce,matričný úrad
00321389,Košarovce,matričný úrad
